14;Adobe Acrobat;Acrobat
15;Adobe After Effects;After Effects
16;Adobe Air;Air
17;Adobe Animate;Animate
18;Adobe Audition;Audition
19;Adobe Creative Suite 6;Creative Suite 6
20;Adobe Dreamweaver;Dreamweaver
21;Adobe Edge Animate;Edge Animate
22;Adobe Fireworks;Fireworks
23;Adobe Illustrator;Illustrator
24;Adobe Indesign;Indesign
25;Adobe Muse;Muse
26;Adobe Photoshop;Photoshop
27;Adobe Premiere;Premiere
28;Adobe XD;XD
53;Apache Airflow;Airflow
54;Apache Camel;Camel
55;Apache Cassandra;Cassandra
56;Apache Cordova;Cordova
57;Apache CouchDB;CouchDB
58;Apache Flex;Flex
59;Apache Flink;Flink
60;Apache Hadoop;Hadoop
61;Apache JMeter;JMeter
62;Apache Kafka;Kafka
63;Apache Maven;Maven
64;Apache Spark;Spark
65;Apache Struts;Struts
66;Apache Subversion;Subversion
67;Apache Tomcat;Tomcat
